result_number,avg_spent_credits,avg_score_value,avg_deaths_value,avg_kills_value,avg_assists_value,avg_damage_value,avg_grenade_casts_value,avg_ability1_casts_value,avg_ability2_casts_value,avg_ultimate_casts_value,avg_plants_value,avg_defuses_value,avg_first_kills_value,avg_first_deaths_value,avg_esr_value,avg_econ_rating_value,avg_kast_value,avg_clutches_value,avg_trn_performance_score_value,avg_team_score_value,avg_team_kills_value,avg_team_deaths_value,avg_team_assists_value,avg_team_damage_value,mode_name_number,mode_key_number,map_name_number,is_available_number,weapon_name_number,ultimate_casts_per_round_value,plants_value,hour_match,minutes_match,playtime_minutes_value,playtime_hours_value,total_players_match,total_players_team,week_day_number,agent_name_number,rank_number_value,current_rank_number_value,team_number_id,defuses_value,first_kills_value,first_deaths_value,esr_value,first_kills_per_round_value,first_deaths_per_round_value,econ_rating_value,hs_accuracy_value,kast_value,clutches_value,rounds_win_pct_value,trn_performance_score_value,rounds_won_value,rounds_lost_value,team_score_value,team_kills_value,team_deaths_value,team_assists_value,team_damage_value,max_total_kills_weapon_name,total_spent_credits,total_rounds,score_value,score_per_round_value,kills_per_round_value,kills_per_round_value,deaths_value,assists_value,kd_ratio_value,damage_value,damage_per_round_value,damage_delta_per_round_value,single_kills_value,double_kills_value,triple_kills_value,quadra_kills_value,penta_kills_value,multi_kills_value,grenade_casts_value,ability1_casts_value,ability2_casts_value,ultimate_casts_value,grenade_casts_per_round_value,ability1_casts_per_round_value,ability2_casts_per_round_value
3,3139,353.57894736842104,0.7368421052631579,1.263157894736842,0.5789473684210527,208.42105263157896,0.7368421052631579,1.0526315789473684,0.5263157894736842,0.1578947368421052,0.2631578947368421,0.0,0.2631578947368421,0.1578947368421052,3.289473684210526,3.526315789473684,4.684210526315789,0.0526315789473684,52.21052631578947,1161.842105263158,4.0,3.3157894736842106,2.1578947368421053,757.0526315789474,1,1,6,1,2,0.1578947368421052,5,19,21,34.18,0.57,10,5,4,11,13,10,1,0,5,3,62.5,0.2631578947368421,0.1578947368421052,67,16.455696202531644,89.0,1,68.42105263157895,992,13,6,22075,76,63,41,14384,15,59650.0,19,6718,353.57894736842104,1.263157894736842,1.263157894736842,14,11,1.7142857142857142,3960,208.42105263157896,50.578947368421055,4,7,2,0,0,2,14.0,20.0,10.0,3.0,0.7368421052631579,1.0526315789473684,0.5263157894736842
3,2526,248.8421052631579,0.6842105263157895,0.7894736842105263,0.5263157894736842,159.6315789473684,0.1052631578947368,0.6842105263157895,2.210526315789474,0.1578947368421052,0.0,0.0,0.0526315789473684,0.1052631578947368,1.7543859649122804,3.3157894736842106,4.421052631578948,0.0,47.63157894736842,1161.842105263158,4.0,3.3157894736842106,2.1578947368421053,757.0526315789474,1,1,6,1,2,0.1578947368421052,0,19,21,34.18,0.57,10,5,4,19,10,7,1,0,1,2,33.33333333333333,0.0526315789473684,0.1052631578947368,63,11.428571428571429,84.0,0,68.42105263157895,905,13,6,22075,76,63,41,14384,5,48000.0,19,4728,248.8421052631579,0.7894736842105263,0.7894736842105263,13,10,1.1538461538461535,3033,159.6315789473684,18.68421052631579,5,2,2,0,0,2,2.0,13.0,42.0,3.0,0.1052631578947368,0.6842105263157895,2.210526315789474
3,2171,167.94736842105263,0.631578947368421,0.5789473684210527,0.0526315789473684,119.3157894736842,0.2631578947368421,0.4736842105263157,1.6842105263157894,0.1052631578947368,0.0526315789473684,0.0,0.0526315789473684,0.0526315789473684,2.631578947368421,2.8947368421052637,3.0526315789473686,0.0526315789473684,7.315789473684211,991.2631578947368,3.3157894736842106,4.0,0.631578947368421,649.3157894736842,1,1,6,1,2,0.1052631578947368,1,19,21,34.18,0.57,10,5,4,15,10,1,2,0,1,1,50.0,0.0526315789473684,0.0526315789473684,55,23.684210526315788,58.0,1,31.57894736842105,139,6,13,18834,63,76,12,12337,4,41250.0,19,3191,167.94736842105263,0.5789473684210527,0.5789473684210527,12,1,0.9166666666666666,2267,119.3157894736842,-2.0526315789473686,4,2,1,0,0,1,5.0,9.0,32.0,2.0,0.2631578947368421,0.4736842105263157,1.6842105263157894
3,2410,117.84210526315788,0.8947368421052632,0.2631578947368421,0.4210526315789473,94.57894736842104,0.0526315789473684,0.3684210526315789,1.5789473684210529,0.1052631578947368,0.1052631578947368,0.0526315789473684,0.0,0.0526315789473684,0.0,2.0526315789473686,3.0526315789473686,0.0,0.0526315789473684,991.2631578947368,3.3157894736842106,4.0,0.631578947368421,649.3157894736842,1,1,6,1,2,0.1052631578947368,2,19,21,34.18,0.57,10,5,4,9,10,7,2,1,0,1,0.0,0.0,0.0526315789473684,39,3.8461538461538463,58.0,0,31.57894736842105,1,6,13,18834,63,76,12,12337,2,45800.0,19,2239,117.84210526315788,0.2631578947368421,0.2631578947368421,17,8,0.2941176470588235,1797,94.57894736842104,-67.05263157894737,5,0,0,0,0,0,1.0,7.0,30.0,2.0,0.0526315789473684,0.3684210526315789,1.5789473684210529
3,2281,178.78947368421052,0.5789473684210527,0.6842105263157895,0.1578947368421052,124.05263157894736,0.631578947368421,0.7894736842105263,0.5263157894736842,0.1052631578947368,0.0,0.0526315789473684,0.0526315789473684,0.1578947368421052,1.3157894736842106,2.8421052631578947,3.5789473684210527,0.1052631578947368,25.94736842105263,1161.842105263158,4.0,3.3157894736842106,2.1578947368421053,757.0526315789474,1,1,6,1,2,0.1052631578947368,0,19,21,34.18,0.57,10,5,4,20,13,10,1,1,1,3,25.0,0.0526315789473684,0.1578947368421052,54,9.375,68.0,2,68.42105263157895,493,13,6,22075,76,63,41,14384,8,43350.0,19,3397,178.78947368421052,0.6842105263157895,0.6842105263157895,11,3,1.181818181818182,2357,124.05263157894736,13.0,7,0,2,0,0,2,12.0,15.0,10.0,2.0,0.631578947368421,0.7894736842105263,0.5263157894736842
3,2665,193.8421052631579,0.631578947368421,0.6842105263157895,0.4210526315789473,129.1578947368421,1.2105263157894737,0.5789473684210527,1.368421052631579,0.1052631578947368,0.1052631578947368,0.0,0.0,0.1052631578947368,0.0,2.5789473684210527,4.157894736842105,0.1052631578947368,35.89473684210526,1161.842105263158,4.0,3.3157894736842106,2.1578947368421053,757.0526315789474,1,1,6,1,2,0.1052631578947368,2,19,21,34.18,0.57,10,5,4,16,10,6,1,0,0,2,0.0,0.0,0.1052631578947368,49,9.433962264150944,79.0,2,68.42105263157895,682,13,6,22075,76,63,41,14384,8,50650.0,19,3683,193.8421052631579,0.6842105263157895,0.6842105263157895,12,8,1.0833333333333333,2454,129.1578947368421,3.736842105263158,2,4,1,0,0,1,23.0,11.0,26.0,2.0,1.2105263157894737,0.5789473684210527,1.368421052631579
3,2310,79.0,0.7894736842105263,0.2631578947368421,0.0526315789473684,58.05263157894737,0.7368421052631579,0.2105263157894736,0.7368421052631579,0.1052631578947368,0.0,0.0,0.0,0.1578947368421052,0.0,1.3157894736842106,2.210526315789474,0.0,0.0526315789473684,991.2631578947368,3.3157894736842106,4.0,0.631578947368421,649.3157894736842,1,1,6,1,2,0.1052631578947368,0,19,21,34.18,0.57,10,5,4,17,13,12,2,0,0,3,0.0,0.0,0.1578947368421052,25,15.0,42.0,0,31.57894736842105,1,6,13,18834,63,76,12,12337,4,43900.0,19,1501,79.0,0.2631578947368421,0.2631578947368421,15,1,0.3333333333333333,1103,58.05263157894737,-82.52631578947368,5,0,0,0,0,0,14.0,4.0,14.0,2.0,0.7368421052631579,0.2105263157894736,0.7368421052631579
3,2628,88.21052631578948,0.8947368421052632,0.3157894736842105,0.1052631578947368,62.63157894736842,0.1578947368421052,0.7894736842105263,0.6842105263157895,0.1052631578947368,0.0,0.0,0.0,0.1052631578947368,0.0,1.263157894736842,2.473684210526316,0.0,0.0526315789473684,991.2631578947368,3.3157894736842106,4.0,0.631578947368421,649.3157894736842,1,1,6,1,2,0.1052631578947368,0,19,21,34.18,0.57,10,5,4,14,11,1,2,0,0,2,0.0,0.0,0.1052631578947368,24,5.88235294117647,47.0,0,31.57894736842105,1,6,13,18834,63,76,12,12337,3,49950.0,19,1676,88.21052631578948,0.3157894736842105,0.3157894736842105,17,2,0.3529411764705882,1190,62.63157894736842,-99.0,4,1,0,0,0,0,3.0,15.0,13.0,2.0,0.1578947368421052,0.7894736842105263,0.6842105263157895
3,2205,186.7894736842105,0.6842105263157895,0.5789473684210527,0.4736842105263157,135.78947368421052,0.5263157894736842,0.1052631578947368,0.5789473684210527,0.0526315789473684,0.1052631578947368,0.0,0.0,0.1052631578947368,0.0,3.263157894736842,3.0526315789473686,0.0,24.73684210526316,1161.842105263158,4.0,3.3157894736842106,2.1578947368421053,757.0526315789474,1,1,6,1,2,0.0526315789473684,2,19,21,34.18,0.57,10,5,4,3,10,15,1,0,0,2,0.0,0.0,0.1052631578947368,62,10.526315789473683,58.0,0,68.42105263157895,470,13,6,22075,76,63,41,14384,7,41900.0,19,3549,186.7894736842105,0.5789473684210527,0.5789473684210527,13,9,0.8461538461538461,2580,135.78947368421052,21.73684210526316,7,0,0,1,0,1,10.0,2.0,11.0,1.0,0.5263157894736842,0.1052631578947368,0.5789473684210527
3,2555,538.2631578947369,0.7894736842105263,1.894736842105263,0.0,314.7368421052632,0.8421052631578947,1.3157894736842106,0.4736842105263157,0.2105263157894736,0.0,0.0526315789473684,0.5789473684210527,0.0,5.2631578947368425,6.526315789473684,4.421052631578948,0.0,42.10526315789474,991.2631578947368,3.3157894736842106,4.0,0.631578947368421,649.3157894736842,1,1,6,1,2,0.2105263157894736,0,19,21,34.18,0.57,10,5,4,6,11,1,2,1,11,0,100.0,0.5789473684210527,0.0,124,27.058823529411764,84.0,0,31.57894736842105,800,6,13,18834,63,76,12,12337,33,48550.0,19,10227,538.2631578947369,1.894736842105263,1.894736842105263,15,0,2.4,5980,314.7368421052632,142.89473684210526,5,5,3,3,0,6,16.0,25.0,9.0,4.0,0.8421052631578947,1.3157894736842106,0.4736842105263157
